id;naam;nummer;omschrijving;piahoofcategorieomschrijving;piahoofdcategoriecode;subcode;subcodeomschrijving
1;submissive briefly smoothly;hungrily;less whether;skeletal tabernacle oof;denominate;ancient throughout a;needy tensely
2;considering above;phooey;aha whoever madly;quaintly apud strife;blah bowling spanish;glittering before ri;how closely
3;blindly;cluttere;shakily following stitcher;give;that;beautifully wander;but
4;till horst flat;healthil;regularize blah;molasses;horrible now the;colorfully meh;instead where hobby
5;aha why till;armpit t;gymnast monster;broadly since below;wheedle generally un;that;oof jealous signet
6;mRNA;gah bad ;inside cadge cue;experienced;dry;sans;understatement
7;due carelessly;mellow y;hourly politely;mountainous loincloth rarely;hungrily quizzically;knowingly;supposing
8;excluding knottily;um oddly;bah fairly;whenever below;yum upward outgoing;exalted falter;grizzle drat er
9;hm;meager u;lyre;physically;uselessly;around though;actual low
10;requisition;phooey;ack;intermix;quietly;um irritably jumpy;free
