id;indelingsoort;naam;nummer;omschrijving
1;daily;so fleck youthfully;well political;save next ugh
2;digging;suspiciously fortunately sheepishly;indeed aha;frizzy
3;lighthearted righteo;but delightfully if;midst;yet
4;zowie beside meanwhi;calculating sometimes;clause after exhibit;after rare tamp
5;division;unimportant pursuit snarling;veil episode;loyal ew wildly
6;meh ack;inquisitively blissful lean;aha properly;after
7;cuss;valid;psst collar;why recklessly because
8;denote;pace;whenever around;from and
9;beyond snowplow that;rigidly scarcely;till gah;decisive out incidentally
10;neighboring er;while;wiretap radiant;authorized potentially
