id;datumeinde;datumstart;gemeenteoorsprong;toestemminggemeentelijkbriefadres;toestemmingnachtopvang
1;2024-05-06;2024-05-05;overweight likewise speedily;true;false
2;2024-05-06;2024-05-05;circa retail;true;false
3;2024-05-05;2024-05-06;ugh seizure;false;false
4;2024-05-05;2024-05-05;notwithstanding;true;true
5;2024-05-06;2024-05-05;likewise treble yuck;false;false
6;2024-05-06;2024-05-05;ew;false;false
7;2024-05-05;2024-05-06;tray ouch;false;true
8;2024-05-05;2024-05-05;intensely now lasting;true;true
9;2024-05-06;2024-05-06;per truthfully;true;true
10;2024-05-06;2024-05-05;ample clear-cut;true;false
