id;aanduidingeuropeeskiesrecht;aanduidinguitgeslotenkiesrecht;datumverkrijgingverblijfstitel;datumverliesverblijfstitel;indicatieblokkering;indicatiecurateleregister;indicatiegezagminderjarige
1;true;true;wording ecstatic;creator;oof;edit violent;majestic prevention behind
2;false;true;runway wrist firsthand;normalization motorcar;abbreviate woot;amidst up than;up
3;false;true;mmm daily essential;once among;tender;best failing;monthly merry
4;false;false;furthermore;elegantly;plastic;uncomfortable rapid finally;hmph how
5;false;true;cue knowledgeable drat;meh whoever;yum unlawful step-mother;apropos whereas scholarly;once
6;false;false;woot with;ick puny stylish;spreadsheet;steep less;yet along
7;true;true;brr apparatus;boil aw prestigious;duh whereas;yieldingly;alloy
8;false;false;wick hitchhike;honestly athwart;sinful hastily;selfishly boohoo;oof naturally
9;true;false;how cohort incidentally;jagged fester rubric;zowie kiddingly adrenaline;sneeze;burly
10;true;false;vivid which;trail;mixed lest that;bronze contest;bulk index valid
