id;bedrag;datumeinde;datumstart;datumtoekenning;eenmalig;groep
1;heavily seal;hand-holding;gee yippee;save;false;beyond
2;gosh;mortally standard;righteously;indeed;true;sparrow except pedestrianise
3;accredit;now crowded;provided whereas ack;gently;false;humiliating while
4;hood;rehear toward nimble;anodize plastic vice;onto spare aw;true;curtsy pacemaker
5;fool instead via;oof windshield;stimulate cave aboard;especially;false;yippee
6;all genuflect;nervously oh cement;uh-huh;yahoo now;false;youthfully
7;debate;elope hence geez;lanky duh though;tragic;false;vastly annex
8;greet plus likewise;present;if reintroduce adventurously;oof cautious complete;true;hm huzzah
9;like;readily;eek the;gavel;true;royal lest
10;among;what and;pace;when;true;pfft bathe elegantly
