id;artikelcode;betalingmeerderejaren;betreft;datumeinde;datumingediend;datumstart;goederencode;omschrijving;ordernummer;saldo;totaalnettobedrag;wijzevanaanbesteden
1;steel meh when;false;to drill;although amid;wholly pertinent enchanted;unto;starry;notwithstanding mortally;foil;28295.98;7431.57;obediently sans
2;midst subgroup;false;solemnly kimono rejoin;sad;swindle rapidly;foster bashfully pro;brightly;outside;tragic o;19587.92;26363.25;intelligent
3;amongst actually whoa;false;huzzah impossible officially;blah ejector;relegate;raw twig whereas;even;keelhaul;which an;456.01;15028.41;enjoin lively
4;animated join yieldingly;true;hungrily;unless bridge;about;impossible eventually;suspect realistic experienced;since across homely;or past ;156.64;17667.74;ocelot decimal offensively
5;whoever;true;milky;incur blister;aha woot;uh-huh snakebite though;boo;orangutan;oh old-f;28417.57;10018.78;star premium topple
6;energetically taco which;true;onto treasured daily;oily pricey;wherever boohoo overrate;cajole dominate;overwork roughly contract;beautifully;brr gah ;14669.49;30849.49;hence usefully lest
7;redact questionably instead;true;ack;desist yippee;pfft meh;frenetically abnormally;monstrous why civilise;behind;espouse ;15128.59;9196.98;than before
8;fast well-informed agonizing;false;whoever eek concerning;positive before;kilt brief;tidy who;within an meanwhile;miscalculate gracefully geez;shady ch;1863.07;14246.38;except
9;sleepy incidentally;false;or inside;righteously;weird;chomp dad;east of;midst in;deadly i;24288.9;23072.07;yuck oh
10;lively boastfully;false;yippee;willing delayed;oh outside;fatally transact ally;dugout yahoo addiction;ack quicker pro;silky;17854.27;10101.68;yippee exaggeration
