id;aangemaaktdoor;datumaanmaak;datumgepland;datuminspectie;datummutatie;gemuteerddoor;inspectietype;kenmerk;omschrijving;opmerkingen;status
1;narrate;2024-05-05;2024-05-06;2024-05-06;2024-05-05;following;confusion gee;bland incidentally s;pantologist unhealthy serious;rheumatism upon;geez idle
2;before impassioned;2024-05-06;2024-05-06;2024-05-05;2024-05-06;physiology yippee husky;juxtapose huzzah;unimpressively high-;forenenst pressroom;cache;inside
3;solid now forfeit;2024-05-05;2024-05-06;2024-05-05;2024-05-06;qualified;always;now forenenst exclud;barbeque;oddly;vivaciously overstoc
4;given collar ionize;2024-05-06;2024-05-05;2024-05-06;2024-05-05;homely why regarding;once organise;since;rewarding;hm;lazily
5;um even;2024-05-06;2024-05-06;2024-05-05;2024-05-05;blah vestment recycle;for toffee;overstretch bandage ;out vice tremendous;hmph unlike gearshift;whether
6;scared unknown;2024-05-05;2024-05-06;2024-05-06;2024-05-05;eardrum;pink wonderful geez;doze;versus sternly among;barring diligently kiwi;blah
7;quirk once belated;2024-05-06;2024-05-06;2024-05-06;2024-05-05;hence fooey censor;brr in;stop;so black-and-white intermesh;tomato brown woot;yahoo reaction walle
8;abnormally;2024-05-05;2024-05-06;2024-05-06;2024-05-06;bluff compete;generous ostracize;via towel;impure victory;impressionable;nor
9;evaporation;2024-05-05;2024-05-05;2024-05-06;2024-05-06;amid given;dwindle ew beside;into wide;sewer amidst;eek roughly;desensitise
10;coaxingly aw;2024-05-05;2024-05-05;2024-05-06;2024-05-05;afore cheerfully as;whose;delineate tan;phew ew dictator;poorly the yowza;useless pessimistic 
