id;datumbekend;datumeindegeldigheid;datuminwerking;datumstart;omschrijving;regeltekst;thema
1;2024-05-06;2024-05-05;2024-05-05;2024-05-05;blah transliterate;before;how lime
2;2024-05-06;2024-05-06;2024-05-05;2024-05-05;besides than aside;suss rare qua;debar
3;2024-05-05;2024-05-05;2024-05-05;2024-05-06;paint whoa elegantly;inwardly composed though;costly
4;2024-05-06;2024-05-05;2024-05-05;2024-05-06;solemnly next frugal;kind;amongst but up
5;2024-05-06;2024-05-06;2024-05-05;2024-05-06;indeed crossly geez;joyous;separately distinct
6;2024-05-06;2024-05-05;2024-05-06;2024-05-06;dissolve notwithstanding;noisily;elastic topic whereas
7;2024-05-05;2024-05-06;2024-05-06;2024-05-06;pish;ply shower why;cobweb aboard alive
8;2024-05-05;2024-05-05;2024-05-06;2024-05-05;prohibition;in that;tread psst needily
9;2024-05-06;2024-05-06;2024-05-05;2024-05-06;down;within;seemingly yuck than
10;2024-05-05;2024-05-05;2024-05-06;2024-05-05;position among;amusing;over knowledgeably calmly
