id;aanduidingsoortgrootte;begrenzingperceel;grootteperceel;indicatiedeelperceel;omschrijvingdeelperceel;plaatscoordinatenperceel
1;clone rush;grand;pricey distortion;airbus stinger as;oh;detainment questioningly yahoo
2;fondly pro rectangular;huzzah;whose foolishly anthologize;macaw;instead colt;passionate indeed
3;whereas;jealously;thought quantity;spicy towards single;murky;lovingly blindly
4;um pish;about;pish fortunately;abscond dearly;commonly excrete ste;honored wake spectacles
5;realize porcelain;protrude consequently aw;qua apprehension top-hat;impulse;twin;reproachfully
6;wherever aboard winter;bemuse incidentally;loftily;keenly;off initiate;fortunately fan
7;unleash entertain;though inhere;yum;dependable yum;indeed great;kiddingly eternity smart
8;paragraph aboard;whereas;cohere scourge;fooey consistency assumption;instead farming;brr lively
9;pepper than battalion;violent meh that;slope unexpectedly trembling;outstanding midst;bah slather oof;elastic married
10;frisk by;ouch;fluid upward;deserve near flake;among clueless;sizzling
