id;datumbegingeldigheidkadastralegemeente;datumeindegeldigheidkadastralegemeente;kadastralegemeentecode;naam
1;2024-05-05;2024-05-06;hence times;besides anenst
2;2024-05-05;2024-05-05;serious;unethically
3;2024-05-05;2024-05-05;against;ugh collide
4;2024-05-05;2024-05-05;to;solicitation
5;2024-05-05;2024-05-06;excluding apropos;vengeful outrageous
6;2024-05-05;2024-05-06;start since;blah er
7;2024-05-05;2024-05-05;ew abaft up;evening description
8;2024-05-06;2024-05-06;astride yippee dreary;eek
9;2024-05-05;2024-05-06;nosh an factorise;next
10;2024-05-06;2024-05-05;wick titrate;collocate
