id;empty;appartementsrechtvolgnummer;begrenzing;cultuurcodeonbebouwd;datumbegingeldigheidkadastraleonroerendezaak;datumeindegeldigheidkadastraleonroerendezaak;identificatie;kadastralegemeente;kadastralegemeentecode;koopjaar;koopsom;landinrichtingrentebedrag;landinrichtingrenteeindejaar;ligging;locatieomschrijving;oppervlakte;oud;perceelnummer;sectie;valutacode
1;zowie certainly;pro;press alongside;boiling;2024-05-05;2024-05-05;midst;apud clothes;married dude;leadership functional;25335.97;20243.32;telex restring;yet weird revivify;phew;crisp minister bullet;nasalize oh on;unless ew;rash;spiteful gargle fairly
2;playfully;whose;via;definitive aw yummy;2024-05-05;2024-05-06;once of nearly;behind cardboard;smoothly;zowie both though;25733.1;3520.66;formalize now;orderly yippee wrapper;offence humiliating;around sough vice;defect with now;supplement bah;periodical versus;with supposing
3;clearly slurp lively;kindly hence though;boo pitiful;inside;2024-05-06;2024-05-05;far sink partially;garter thought;axis without;louse utterly;6303.14;14620.76;strictly ah;duh;provided er;wean properly;upliftingly conference ick;lined till pilgrimage;yowza;ew or
4;why uh-huh pheromone;bitterly damage;creamy;why;2024-05-06;2024-05-06;buoyant;repatriate light gre;traffic insignifican;colorfully yum eek;19780.77;6030.85;inwardly;far-off bonding;over greatly;astride geez;levy tightly expert;defiantly;almost;delightfully utilize
5;infantile whose joyously;minus that;real yahoo;canine;2024-05-05;2024-05-05;brr high hm;likewise loudly apro;unbearably out;defiantly considerate properly;17886.91;30294.11;whenever within and;so;cruel provided amongst;impeach rarely;an oof;rewarding;reef;pro ferociously eek
6;whole;prevaricate than round;alibi hungrily fooey;initialise generally;2024-05-06;2024-05-06;for duh yearningly;tango onto;weary why since;helplessly where;31694.71;9482.96;down;calculating bath;across;indolent clean;partial grey;plus;same daily;perform fire whose
7;really tissue;bleakly yet acre;quaintly whoa greedily;garden without;2024-05-05;2024-05-05;preface provided lest;swiftly antique;alphabet;and yum arctic;12367.8;11252.57;inflect;rub;new readily aside;spirited;however;magnet unsightly;scary traumatic;ouch
8;neurobiologist victoriously;geez near shocked;now upside-down openly;quirkily;2024-05-05;2024-05-05;gadzooks given;attorney;kookily gosh;artist;6876.48;1803.94;standardize carelessly aggravating;briefly downstairs;playfully terribly;wiggly doubtfully eminent;absent as;minus tangible closely;humour clack;obedient
9;that grand;zap;hideous gosh enthusiastically;maternity;2024-05-06;2024-05-05;ouch;plus joyously rapidl;violently;along aw;18628.34;20573.63;round hm;after boohoo;what shoplift regular;apropos trump psst;peaceful;councilor um narrow;cheapen thunderous worriedly;strictly
10;meaningfully;arch-rival except hip;briskly unravel pitiful;basic;2024-05-06;2024-05-05;happily;wherever;jazz mid caboose;marketing unnecessarily wobbly;4534.67;13532.31;evenly gah delirious;yum;belittle;sweet why;popularize rainmaker;woot than;atop extra-small burrito;disloyal
