id;aardaantekeningkadastraalobject;beschrijvingaantekeningkadastraalobject;datumbeginaantekeningkadastraalobject;datumeindeaantekeningkadastraalobject;kadasteridentificatieaantekening
1;death;unnecessarily per pish;2024-05-06;2024-05-05;bah ding humble
2;junior;silently;2024-05-05;2024-05-06;like via astride
3;comfort likewise;descry;2024-05-05;2024-05-06;brr delegate ingest
4;nor;woot huzzah;2024-05-06;2024-05-05;pfft till yowza
5;punctually carol credenza;save underneath;2024-05-06;2024-05-06;jovially
6;oof;exempt marvelous;2024-05-05;2024-05-05;at
7;for;majestically nor right;2024-05-05;2024-05-06;boo whoa
8;arthur instead yesterday;exile yawningly;2024-05-05;2024-05-05;bronze
9;by nutmeg;onto;2024-05-06;2024-05-06;mmm
10;gosh;about for;2024-05-06;2024-05-05;angelic impish inside
