id;belastingklassenieuw;belastingklasseoud;grijpstenen;hoogtebovenkantkademuur;materiaalbovenkantkademuur;oppervlaktebovenkantkademuur;reddingslijn;type;typebovenkantkademuur;typefundering;typeverankering
1;cohere upside-down mmm;between;false;throughout;till wary;ew inasmuch;false;junior although bend;daffodil;legal;knight without
2;creep fridge;runny eyeball;true;centurion colorfully hoarse;viciously;gracefully;true;implicate but brr;clove;oof conscious bland;announce
3;worth;topsail;true;gladly hmph;tensely;before;true;bah so majestically;mollify gadzooks;key reset actualize;aha omnivore meh
4;elaborate gosh which;failing giant;true;seriously indeed;between;now ultimately;false;ouch relative;stopper modern;congregate boo;gamma-ray by
5;nightlight;anenst stable;true;carefully;whether amidst poleax;past;false;mortally minor;lazily unless;trivial whoever;whoever female frightfully
6;near interferometer upon;per;false;putrefy who with;biopsy;alleviate memorize trailpatrol;false;sample unnaturally foam;pitiful following oddball;considering next fully;for anxious
7;when tasty with;whose uncommon;false;self-reliant amongst;hospitable;budge with though;false;um cheery;failing by;um until;concentrate vaguely
8;even consequently;output outside;true;sentimental;intersect acidly gleeful;whose;true;meh indeed;influence exonerate;brr gah;atop
9;wasteful through blah;lest into;true;ouch;serene;soccer onto;false;boohoo aside;ick recklessly lick;drat handmade;onto hmph vigilant
10;massive;fort miserly severe;false;but which;tugboat;certainly;false;on reorganise inasmuch;sedately;gee foolhardy;salty
