id;beoordeling;categorie;contactopnemen;ddbeoordeling;kanaal;onderwerp;subcategorie
1;likely pac;jeopardize;true;2024-05-05;barring;because inasmuch;bemuse though
2;a open gad;gawk buck immediate;true;2024-05-06;oxygenate despite yet;oddly who;sheer
3;until;poll vibraphone;false;2024-05-06;after afterwards;usually diligently mmm;blah unless
4;boo surpri;yum chef whoa;false;2024-05-06;ack;furthermore whenever;brr gee
5;nor failin;wonderful delightfully upliftingly;false;2024-05-05;along lest;emotional worth;with sentimentalise
6;recharge;excluding;true;2024-05-05;savory neglect guilty;officially;including
7;inflammati;automatic rigidly;false;2024-05-06;defend mixed feisty;on;vacantly
8;by knotty ;consequently;true;2024-05-05;fancy;mostly midst corkscrew;giant easily kid
9;untimely g;hence;true;2024-05-05;geez best outgoing;mortar;geez near across
10;teeming le;puffin save preface;true;2024-05-05;indict;round;from
