id;eindtijd;kanaal;notitie;starttijd;tijdsduur;toelichting;wachttijdtotaal
1;spite hardship;animate like of;not;likewise snappy;huzzah;pish;engender into
2;hm along accredit;sans underneath;centralise afterwards;amongst;encumber whoa;beyond bountiful;hm bean ack
3;algorithm why;wherever;telescope stigmatize;evil mmm;marvelous trained sheepishly;huzzah armadillo incidentally;moose
4;than;if atomise amongst;heavily phooey mid;uh-huh congratulate revenge;although;famously;and screw-up
5;scholarship psst;mouth;er although;survey;pleased ack accuracy;selfish what;after
6;praise;remount;aside circulate gah;sans cover;mountain;where wherever;taxi whenever gouge
7;fitting;of er;furthermore onto;blah searchingly;lightly following;pace for;as
8;spirited without loudly;playful evade;far-off verbally;overconfidently athwart tango;and opposite nuke;furiously tender;abaft since
9;apostrophise fizz;alarmed cocktail fid;long;aw crate;tide yawningly cruel;slow;shipwreck whenever
10;stupefy;upbeat hmph;growing for;amid;whenever ew;following;onto keep
