id;hoogte;knipfrequentie;knipoppervlakte;ondersteuningsvorm;type
1;or crown or;courageously meanwhile between;nor famously;beyond;instead unruly daub
2;hoarse joshingly;though;unwilling wax hassle;outside gah;plane cry
3;skateboard pall;ouch bough;cream uh-huh regurgitate;next;throw
4;capitalism median politely;lest dereference potentially;odd spear interface;thankfully recession;unequaled mistrust in
5;failing;pest;but;notarize kindly;enthusiastically deformation
6;frozen extraneous psst;jaggedly innocently unsettle;shuffle lose;aboard;between courier porpoise
7;as young giant;yet reduplicate;from silver beatboxer;kip wiry well-documented;and
8;contribute apprehensive;meh forceful;yearly;flick;countess incidentally why
9;well-groomed mosquito;insist;weepy influence;forenenst;modulo tan
10;encourage;conference trim;excluding if;below husky;tax basics tingle
