id;bereikbaarheidkolk;risicogebied;type
1;failing ouch icecream;rear tragic;nor
2;schtup;publicise reverse littleneck;where violet
3;qua raw from;regularly astride spirituality;which before
4;pan meh yearningly;musician aha deceivingly;circa
5;innocently stained;yet;conventional upwardly
6;opposite;growling;innocent before
7;partially salute lawful;aha between aw;than metallic
8;put gosh;too modulate once;sunbeam
9;astride gee but;famous steward;cleverly vice
10;proposition while betide;revolve hmph;daintily
