id;aangemaaktdoor;aantal;bedrag;bedragtotaal;datumaanmaak;datummutatie;eenheid;geaccordeerd;gefactureerdop;gemuteerddoor;naam;omschrijving;opbasisvangrondslag;tarief;type;vastgesteldbedrag
1;rebuff something beneath;film;owlishly;unloose yearly rash;2024-05-05;2024-05-06;gig;unequaled after;2024-05-06;selfishly unnaturally;calm shame ack;eek brr sternly;rudely optimistically;drinking jubilantly;repeatedly;stealthily thankful whirlwind
2;ready;powerfully emblazon;ah once;environment geez;2024-05-06;2024-05-06;beyond key quintuple;scene qualified;2024-05-06;creolise champagne;implement excluding;vaguely biff;upward tensely incompatible;as barge;mmm;excepting crewmember
3;pastel;too instead modulo;victoriously eek against;frenzy pioneer riot;2024-05-06;2024-05-05;treasured psst whose;alert;2024-05-05;inasmuch extract;disengagement whoeve;taper down;although lasting;vainly forenenst blah;meanwhile;bashfully
4;aha trained yippee;obtain into;with defenseless yippee;searchingly mmm crewmember;2024-05-05;2024-05-06;whenever;distance joyful;2024-05-05;when weighty skim;however promptly tha;ugh because how;politely international cloak;greatly subtract meanwhile;vocalize;why well-documented
5;loosely down aw;abridge barring;bruised upliftingly title;suede;2024-05-06;2024-05-05;second as although;besides provided fat;2024-05-06;close barring accompanist;mundane dimly off;macaw;plus;intervene hm;identify;by duh
6;above;intentional unwelcom;obvious;wafer;2024-05-06;2024-05-06;openly;within aha;2024-05-06;bride below;off boo while;zowie yet;hmph;clout across;once;warm bijou
7;oh even now;unless;drat;step-aunt closed;2024-05-06;2024-05-05;which;usefully precious as;2024-05-05;dense knight;furthermore whereas ;joint;amongst;behind strand beneath;voluminous;bravely indeed
8;as truthfully sans;living;miserably;magnificent bah;2024-05-06;2024-05-05;highly;ew;2024-05-05;ha;dethrone revise inci;gee;of;flip;athwart;researches sorghum telephone
9;whether turban lest;gadzooks;cherry absent glorify;consequently likewise huzzah;2024-05-05;2024-05-06;astride ouch;passage afore;2024-05-06;abaft kissingly space;or carelessly frenet;moment;of;sadly brr;gosh;deeply aw
10;athwart;through;gee complicated opening;on;2024-05-05;2024-05-05;lazily padlock;among speedily oh;2024-05-05;grumble beyond brood;velvety more;phooey worth out;indemnify sponge wonder;sharply into;round dull;stipulate despite
