id;btwcode;btwomschrijving;kostenplaatssoortcode;kostenplaatssoortomschrijving;kostenplaatstypecode;kostenplaatstypeomschrijving;naam;omschrijving
1;whereas whereas monotheism;towards happily;civilisation leading;of bound;hmph cool tremendous;resolve;highly;but well-lit evenly
2;till interestingly fooey;delightfully paint;boo briefly nylon;froth although;cone renounce lest;judgementally;finally;incidentally over
3;outside ptarmigan;affair woot counter;boo aw tailor;photographer meanwhile;till phooey;goodie nicely;feminine;verbally revile aw
4;harmless hilarious;drat brandish;yahoo hopelessly why;furiously including instead;swiftly though;inwardly um;if conversion;syndicate arid
5;appetiser;gee;if vacant hastily;zowie where;for whether;ornery chauffeur solid;oh of;emotional duh trafficker
6;dugout reconvene predicate;tattoo;weird;nor;hatred;beastie pfft gadzooks;refinance minibus;down
7;following neighbourhood huzzah;escalate usefully;adverb woot provided;hyphenate serpentine;oh vilify;elegantly;quizzically while;precious usher yet
8;offensively furiously;dreamily optimistically;tote;successfully;redraw;whose vice finally;upside-down despite;round
9;superimpose;stepmother;atone barring trivia;trudge;midst till dehumaniz;vindicate ouch for;lovingly;sort peppery nice
10;shrilly gah;innocently meanwhile faithfully;yahoo austere earthq;given taxicab;whereas gee;repulsive zesty valiantly;gelatin;likewise faithfully triangle
