id;datumeindefictief;datumeindeland;datumingangland;landcode;landcodeisodrieletterig;landcodeisotweeletterig;landnaam
1;true;keenly mostly;pig;calmly;opposite;upon;modulo thoroughly
2;false;while beyond amongst;alienated given;rightfully;for downplay meh;a quaintly;playfully leaflet
3;false;amid;hospitalise finally ah;ah er beside;energetically;blah;activate
4;true;unless who jam-packed;officially;buoyant;given foreshadow;peruse under;times straight while
5;true;bathhouse;expensive abrade excluding;ew;circa misname aside;underneath;whoa
6;false;eyestrain supposing;infinite zowie;collectivize cuddle humble;absent till;nor after plaintiff;wherever amidst
7;true;aside what duh;lanky;eek taut beneath;cheetah;worth;gladly kindheartedly detoxify
8;true;imperturbable;yearningly blah stupendous;aboard loading;down unknown;behind of quizzically;supposing recuperate
9;false;helplessly;uh-huh regularly;woot pegboard;sadly trusty;delightfully pro psst;while sudden
10;false;cohort finally brr;aside calculating yahoo;but;next past;modulo interpose sparkle;especially
