id;agbcode;leverancierscode;naam;soortleverancier;soortleveranciercode
1;bakery opposite;not busi;or;because coerce ecology;mistrust
2;ha gee unlike;liquor f;zowie contraindicate;for yet;diamond 
3;afore;constitu;skyscraper inwardly;finally unexpectedly;ack naut
4;haze;oar rudd;when streamline;yippee;locket
5;among;yum wher;than disengage;frankly deeply yahoo;aw
6;when tuxedo unto;courageo;underneath afore faith;shame what warmly;agree
7;phew;before;ew;yum chem;psst
8;however translate freely;purple j;over;flawed earmuffs;our bah 
9;wetly excluding rat;fluid;hm;by result flickering;fluid
10;beard uh-huh piracy;well-to-;meh before;amuse foolishly;fully
