id;code;datumstart;datumstop;eenheid;frequentie;omvang;stopreden
1;whether partially al;2024-05-05;2024-05-06;shin blah;whose distance round;neatly geez salsa;anti signify
2;titanium orange;2024-05-05;2024-05-05;which;lest yieldingly know-how;jolt alternative telecommute;witness hence recklessly
3;famously outside pol;2024-05-06;2024-05-05;creolize;without curvy;outlaw reflecting save;mixed brr
4;mortally tech;2024-05-05;2024-05-06;heal;cleave;vogue required;unblock down
5;despite;2024-05-06;2024-05-06;truly;gobble unless;offensive meager;anenst kindheartedly
6;because;2024-05-05;2024-05-05;dice entity;lest slobber forum;inasmuch;shocking against objection
7;yahoo parking common;2024-05-06;2024-05-06;now of;flip-flops behind;from;immaculate hence mailbox
8;apropos where;2024-05-06;2024-05-05;yieldingly;generally;weakly yet accrue;inhabitant supposing why
9;ick boo;2024-05-05;2024-05-06;ultimately windy yuck;er dismal rarely;fumble than mid;fancy gather hurdler
10;across;2024-05-05;2024-05-06;bah;stable warped under;qua ouch;path progression clown
