id;datumbegingeldigheid;datumeinde;datumeindegeldigheid;datumingang;documentdatum;documentnummer;geconstateerd;geometrie;identificatie;inonderzoek;status;versie
1;2024-05-06;2024-05-05;2024-05-06;2024-05-06;2024-05-06;innocent;amongst;workshop in;wherever immobilize;false;so;since sell hammock
2;2024-05-06;2024-05-05;2024-05-05;2024-05-06;2024-05-05;leaven toga cavort;unto ugh;wait heavenly importune;ugh than;false;whoever ugly;er
3;2024-05-06;2024-05-05;2024-05-06;2024-05-05;2024-05-06;along euthanise;clutter gesture;dethrone;how pish;false;provided before;forthright failing flan
4;2024-05-05;2024-05-05;2024-05-05;2024-05-05;2024-05-06;though defiantly;misty vol;contributor gadzooks plait;trawl forenenst;true;too gadzooks execute;fairy but statin
5;2024-05-05;2024-05-05;2024-05-06;2024-05-06;2024-05-06;lined ugh woot;promenade pander;gah;shy purple ouch;false;whether servitude;fruitful limply total
6;2024-05-06;2024-05-06;2024-05-05;2024-05-06;2024-05-06;till;under sans duh;jangle tangible under;fooey safely crowded;false;fluctuate gargantuan;bleak
7;2024-05-05;2024-05-06;2024-05-06;2024-05-05;2024-05-06;snicker sleek ew;course pfft whose;unlawful disafforest who;meh oof placement;true;estuary;purl oof blade
8;2024-05-05;2024-05-05;2024-05-06;2024-05-05;2024-05-05;towards;pet;partial webinar failing;entrust off;true;because;daring circa personality
9;2024-05-05;2024-05-05;2024-05-05;2024-05-06;2024-05-05;bleakly empty;quadruple;until altitude dapper;yet greatly;false;scarcely appreciation vague;eviction
10;2024-05-06;2024-05-05;2024-05-06;2024-05-05;2024-05-05;eek forenenst disavow;knee huzzah the;decorate because;deliberately silently;false;so;likewise aha chill
