id;adrestype;cultuurcodebebouwd;datumbegingeldigheid;datumeindegeldigheid;geometrie;locatieomschrijving
1;impassioned;kookily key;2024-05-05;2024-05-05;rescind mealy;neuropathologist when
2;failing unethically;until aged sensationalize;2024-05-05;2024-05-06;useful yum;barring
3;dandelion drake;democratise oof;2024-05-05;2024-05-05;reproachfully privacy watchful;gosh
4;enthusiastically;downshift oof clever;2024-05-06;2024-05-05;zowie;what inasmuch unequaled
5;toll since tiger;imperfect except calcification;2024-05-05;2024-05-05;narrative actually in;as
6;wherever;yum inasmuch;2024-05-06;2024-05-05;separately stiff anenst;aside binoculars ew
7;boo aha;what;2024-05-05;2024-05-05;love place;midst
8;bull eek fire;now judgementally;2024-05-06;2024-05-06;sidle;food
9;commonly;huzzah rivulet chunder;2024-05-05;2024-05-05;musty gum;after aw when
10;before cautiously lucky;chicken;2024-05-06;2024-05-06;daintily;gybe
