id;waarde;dwhrecordid;dwhodsrecordid;dwhstartdt;dwheinddt;dwhrunid;dwhbron;dwhlaaddt;dwhactueel;lstclass_1_id
1;13709;7270;2817;2024-05-06;2024-05-06;13743;barge;2024-05-05;23602;23874
2;5605;14124;18072;2024-05-06;2024-05-05;12596;seabass ouch;2024-05-05;12458;22170
3;14959;32467;41;2024-05-06;2024-05-06;10304;quarrelsomely evenly gloomy;2024-05-06;20142;24778
4;11260;26869;14320;2024-05-05;2024-05-05;8956;whose;2024-05-06;16051;32695
5;395;22160;10970;2024-05-06;2024-05-06;5048;encircle;2024-05-06;25803;14974
6;22405;17165;28170;2024-05-05;2024-05-05;24416;ironclad;2024-05-06;29158;11833
7;32384;27066;10338;2024-05-05;2024-05-05;16118;phew atop;2024-05-05;30558;17023
8;21595;32280;16052;2024-05-05;2024-05-05;3373;er supposing;2024-05-05;16090;29013
9;1969;267;27612;2024-05-05;2024-05-05;5882;outline nautical who;2024-05-05;31776;15604
10;4389;20970;10205;2024-05-06;2024-05-05;20649;whispered trellis defiant;2024-05-05;28524;19630
