id;vierentwintiguurs;datumtijd;illegaal;meldingnummer;omschrijving
1;against;via furthermore;fully;utter blah;instead
2;timeline that;carelessly;truly;er oof;warlike abdomen riot
3;far-off student;supposing obnoxiously fall;joshingly generously;the befall sting;while justly
4;stub buoy;idealistic upward crossly;supposing rebel faithfully;overbook;yum sit yowza
5;pish apprehensive;piercing apropos squeal;compromise excellent caring;um horrible;version hence
6;mammoth;because;aw;scared crest;mortally
7;or;elegant unsightly finally;sardine foot;interact afore knowledgeably;generously yum
8;presume;grouchy piddle able;slander liberate;awkwardly;ah
9;small far fudge;yahoo afterwards reproachfully;helpfully;alongside yum;individualize weakly
10;confirmation;whereas athwart;lest;blah absent;decentralise
