id;crow;locatie;locatieomschrijving;meldingomschrijving;meldingtekst
1;phooey drat reconstitute;leader bagel;um consequently capitalise;than phooey;meh
2;excitedly;but;displace lizard;easily;close afterlife ha
3;oof backcomb truck;beneath mmm outshine;contend wherever conference;bore acclaimed;while true
4;if declare how;wooden;anti complication chandelier;recklessly;uncommon emotional
5;against;hence with as;mukluk juggernaut;guilt rabbi;unnecessarily
6;gadzooks;inside like;failing;ugh;reform essential
7;near strident;zowie;traffic wherever including;nor;widow miaow
8;why;invade;lest;substitute wildly glossy;wisely boo
9;infuriate;skew;amongst yearly;till;neurobiologist since
10;whereas;for;equatorial anenst;prohibit sternly glittering;ridge
