id;bedrag;bezwaarafgehandeld;bezwaaringetrokken;bezwaartoegewezen;bonnummer;datumbetaling;datumbezwaar;datumgeseponeerd;datumindiening;dienstcd;organisatie;overtreding;parkeertarief;redenseponeren;vorderingnummer
1;20062.63;2024-05-06;2024-05-05;2024-05-05;forecast testify nor;2024-05-06;2024-05-05;2024-05-06;2024-05-05;how;for duh;convey billet beside;3091.76;secure;assail majestic lurk
2;19571.97;2024-05-05;2024-05-05;2024-05-05;consequently;2024-05-06;2024-05-05;2024-05-05;2024-05-06;ugh times wash;near;who;6865.32;boohoo beyond justly;selfish
3;27857.04;2024-05-05;2024-05-06;2024-05-05;sometimes ouch depose;2024-05-06;2024-05-06;2024-05-05;2024-05-05;but hypothesis anti;utterly likewise;referee;18041.46;whose;grid cappelletti thankfully
4;17071.49;2024-05-05;2024-05-06;2024-05-05;under;2024-05-06;2024-05-05;2024-05-05;2024-05-06;yang;misdiagnose with reluctantly;gadzooks blame;15420.29;ew bravely;thick
5;25641.74;2024-05-05;2024-05-06;2024-05-05;jeopardize drat;2024-05-05;2024-05-06;2024-05-06;2024-05-06;trigger cloak seemingly;torch yowza;when negative;12105.12;unless;yoyo
6;20445.69;2024-05-06;2024-05-05;2024-05-05;whose;2024-05-06;2024-05-05;2024-05-06;2024-05-05;phooey indeed flimsy;yahoo;frightfully crazy;31546.32;flame;too
7;23378.82;2024-05-06;2024-05-05;2024-05-05;freezer incidentally and;2024-05-06;2024-05-06;2024-05-05;2024-05-05;cupola likewise atop;barring;over;31332.93;neuter;delayed as consume
8;20515.74;2024-05-05;2024-05-06;2024-05-06;gee;2024-05-06;2024-05-06;2024-05-05;2024-05-05;kissingly foil;repossess;if per accidentally;16804.24;of yearly underpass;rarely from elevator
9;15093.9;2024-05-05;2024-05-06;2024-05-06;questionably especially;2024-05-06;2024-05-05;2024-05-06;2024-05-05;agony;lanky;worth untimely;18913.09;zowie;considerate
10;1199.48;2024-05-06;2024-05-05;2024-05-06;ascot jib;2024-05-05;2024-05-05;2024-05-05;2024-05-05;naturalise bewail perfectly;reprocessing;chromakey;25206.51;approve;oof stone
