id;bedrag;bezwaarafgehandeld;bezwaaringetrokken;bezwaartoegewezen;bonnummer;datumbetaling;datumbezwaar;datumgeseponeerd;datumindiening;dienstcd;fiscaal;organisatie;overtreding;parkeertarief;redenseponeren;vorderingnummer
1;10304.61;2024-05-05;2024-05-05;2024-05-06;ship fraternise;2024-05-06;2024-05-05;2024-05-06;2024-05-05;whenever television so;false;shyly reaffirm tights;concrete;28119.78;whoa agitate;excitedly
2;17052.42;2024-05-05;2024-05-06;2024-05-06;bulk aw book;2024-05-05;2024-05-06;2024-05-06;2024-05-05;shawl;true;tuition;er ick;30765.88;disengage;through
3;1014.02;2024-05-05;2024-05-06;2024-05-06;pro anchored;2024-05-06;2024-05-05;2024-05-06;2024-05-05;astonishing;false;quirkily repatriate legislation;pond;13723.59;mid respite;collision
4;24819.78;2024-05-05;2024-05-05;2024-05-05;apropos ha classification;2024-05-05;2024-05-05;2024-05-06;2024-05-05;safely relieved whether;false;gadzooks conciliate;spiffy;21210.82;usefully forsaken towards;frayed solidity ischemia
5;30313.92;2024-05-05;2024-05-05;2024-05-06;boohoo alter;2024-05-05;2024-05-06;2024-05-05;2024-05-06;of hence meh;false;over silently;declination hmph;26916.88;boohoo;mmm expend which
6;9640.53;2024-05-05;2024-05-06;2024-05-05;quizzically;2024-05-05;2024-05-06;2024-05-05;2024-05-05;yellow;true;roughly;abhor brisk hopelessly;12197.24;lest;why gosh vague
7;32243.97;2024-05-06;2024-05-05;2024-05-06;play till;2024-05-06;2024-05-06;2024-05-06;2024-05-05;glossy ouch surprisingly;true;nor muscle;hovercraft lobotomize consequently;23137.08;rigidly;voluminous usually
8;28802.81;2024-05-06;2024-05-05;2024-05-06;honestly solder;2024-05-05;2024-05-06;2024-05-06;2024-05-05;utilized;true;aquaplane;ouch whoever;25610.19;duh throughout blind;wherever yowza
9;26191.94;2024-05-06;2024-05-05;2024-05-05;sans fast roll;2024-05-05;2024-05-05;2024-05-06;2024-05-05;naturalise mortified;false;ick hoof on;wind but;12236.92;phooey dissemination;duh unfortunately breakdown
10;15906.14;2024-05-05;2024-05-05;2024-05-06;or up;2024-05-05;2024-05-05;2024-05-05;2024-05-05;glittering;true;late but excepting;truth;8538.68;rudely waist;warmly
