id;buitenlandsenationaliteit;datumeindegeldigheid;datuminganggeldigheid;datumopnamen;datumverliesnationaliteit;nationaliteit;nationaliteitcode;redenverkrijgingnederlandsenationaliteit;redenverliesnederlandsenationaliteit
1;false;2024-05-05;2024-05-06;than via;2024-05-05;like optimistic;tunnel boo where;intrepid;enraged woot
2;true;2024-05-06;2024-05-05;loving whose round;2024-05-06;along humming;brr;that;proof ew prompt
3;false;2024-05-05;2024-05-06;across;2024-05-06;creative;sedately;gadzooks peace that;degrease however
4;false;2024-05-06;2024-05-06;double mysteriously;2024-05-06;eek;monthly sunbonnet;icy excepting;voluminous commute
5;false;2024-05-06;2024-05-05;ick how;2024-05-06;obesity lengthen;outlast aware;that bah quintessential;gadzooks obedient
6;true;2024-05-05;2024-05-06;ick deceivingly square;2024-05-05;whose;orderly till whenever;dead;aperitif snowball
7;false;2024-05-05;2024-05-06;popular duh ah;2024-05-06;burn;from;huzzah alcohol disafforest;integrity than er
8;false;2024-05-06;2024-05-06;blah;2024-05-05;circa anguished plagiarism;complicated;ew;save wiseguy
9;true;2024-05-05;2024-05-06;matriculate wend;2024-05-05;geez;drab off;ugh toward snuggle;since ew
10;false;2024-05-05;2024-05-05;honesty;2024-05-06;exeunt as;sleepily unless;eventually attentive postpone;rightfully fatally
