id;datumaanvang;datumeinde;datumuitschrijving;datumvoortzetting;faxnummer;ingeschreven;inoprichting;kvknummer;nnpid;rechtsvorm;rsinnummer;statutairenaam;statutairezetel;websiteurl
1;2024-05-06;2024-05-05;2024-05-05;2024-05-06;till;true;false;sum booh;openly if hm;from yippee;down adm;hyena;theorise scarily yippee;pall stupidity
2;2024-05-05;2024-05-06;2024-05-06;2024-05-06;definitive;true;false;deregula;ladle compliment pearl;obnoxiously phooey mean;hm up;reflecting yieldingly meh;ensue;view wrathful equatorial
3;2024-05-05;2024-05-05;2024-05-06;2024-05-06;failing onto disarm;true;true;knit saf;cabin nor;yum drat;worse;reproachfully tease;when joyous wretched;hungrily how
4;2024-05-05;2024-05-05;2024-05-06;2024-05-06;than ordinary;false;false;old-fash;weakly beautifully;but;colligat;ha ouch;really pacify;silhouette astride
5;2024-05-05;2024-05-05;2024-05-05;2024-05-05;kick-off inasmuch do;true;true;who;however;phooey amendment doubtfully;boldly;mangle senior;atop worth up;annually creepy
6;2024-05-06;2024-05-05;2024-05-06;2024-05-05;comb worse pixelate;false;false;acrobati;than healthy;consequently;selfishl;outside till say;intrigue hourly;queen
7;2024-05-06;2024-05-05;2024-05-05;2024-05-06;minor hunter;true;false;stunning;natural;snappy though;qua symp;bull estimate eventually;boastfully oh with;oof gosh
8;2024-05-06;2024-05-05;2024-05-06;2024-05-06;whoa;false;false;harmonic;category;geez next;epee ski;even bake;gratefully;selfishly cement
9;2024-05-06;2024-05-05;2024-05-05;2024-05-05;till among where;true;true;until;within comfortable molding;beneath;boohoo;elaborate;behind unless;needily rough
10;2024-05-05;2024-05-05;2024-05-06;2024-05-06;troubled astride;true;true;despite ;indigence boxer sham;zowie rasp;grateful;whereas along;unabashedly irritably beyond;including upon trove
