id;kwalitatievewaarde;kwantitatievewaardeeenheid;kwantitatievewaardeomvang;bevat_norm_id
1;mechanize viciously description;ogle;wherever aggravating um;1
2;cloudy;oh appendix;duh;2
3;er trade aha;corruption;needily;3
4;waterlogged avaricious;elegantly;provided;4
5;merrily provided expansion;as suspicious;hmph;5
6;unethically primary useful;forceful yuck;vibrant prattle;6
7;during;noodles considering;bawl incarnation;7
8;yum witness along;tall delayed;before quarrelsomely vice;8
9;round sans resource;even beyond;quickly;9
10;ogle;within;gee out aggressive;10
