id;datumbegingeldigheid;datumeinde;datumeindegeldigheid;datumingang;geconstateerd;geometrie;huisletter;huisnummer;huisnummertoevoeging;identificatie;inonderzoek;postcode;status;typeadresseerbaarobject;versie
1;2024-05-06;2024-05-06;2024-05-06;2024-05-05;true;brr blue or;voluminous;successfully;actually;tense belly;true;mine why;ew provided;geez;meh
2;2024-05-06;2024-05-06;2024-05-05;2024-05-06;true;generously;staple boo besmirch;utilization;yum bowed yum;apud town shack;true;ack;demanding deceivingly;democratise fuse ephemeris;undulate spiteful
3;2024-05-05;2024-05-06;2024-05-06;2024-05-05;true;prudent among during;sock;once;whoever psych;out authentication wasting;true;ethical youthfully;meanwhile into;under scrawny;minus
4;2024-05-05;2024-05-05;2024-05-05;2024-05-06;false;recklessly poorly picnic;proud eek editorial;continually unruly;yowza result pad;astride what yowza;true;purple um;whose genre;wolf when concerning;what before
5;2024-05-05;2024-05-05;2024-05-06;2024-05-05;true;gruesome hence;wonderful that chunder;bestride;crystallise;yet yowza distress;true;as;favor quiet;provided;during these
6;2024-05-06;2024-05-05;2024-05-05;2024-05-06;false;woot;row;towards;fluid editorial leptocephalus;incomplete;false;incidentally duh;incidentally;than whoa onto;smoothly
7;2024-05-05;2024-05-05;2024-05-05;2024-05-06;true;elect behind;madden;whose;decriminalize prize;searchingly ha rudely;true;busily;unnecessarily knowledgeably;yuck anti pish;generally never
8;2024-05-05;2024-05-06;2024-05-06;2024-05-06;true;nibble;descent since snarl;gah incidentally glower;copyright eek defiantly;opulent good astonishing;true;measly loyalty uh-huh;among pack who;lest esteemed;fly what
9;2024-05-05;2024-05-06;2024-05-05;2024-05-06;false;after;uncouple hypnotise;into loaf terminate;replay atop;punt aw aw;false;aside forenenst;discolour;out for truthfully;criminal
10;2024-05-06;2024-05-05;2024-05-05;2024-05-06;true;nor meanwhile because;whoever though;loftily after amid;promptly dwell pioneer;sure-footed;false;whereas kissingly;recklessly youth;incidentally;lonely
