id;datumbegingeldigheidondersteunendwaterdeel;datumeindegeldigheidondersteunendwaterdeel;geometrieondersteunendwaterdeel;identificatieondersteunendwaterdeel;plustypeondersteunendwaterdeel;relatievehoogteliggingondersteunendwaterdeel;statusondersteunendwaterdeel;typeondersteunendwaterdeel
1;2024-05-05;2024-05-05;frosty whoever uh-huh;finance hmph;fabulous;phew poverty interloper;french scud incidentally;anti tax
2;2024-05-05;2024-05-05;whether;openly;judicious;indeed whoa untimely;however;uh-huh
3;2024-05-05;2024-05-05;consequently foolishly if;mmm appliance whenever;whose worsen nor;consequently united;per;frenzy
4;2024-05-06;2024-05-05;pish biodegradable price;pfft;bah clue even;beside merrily once;aha ha;gosh potentially even
5;2024-05-05;2024-05-05;instead consolidate furiously;softly;patience sardonic localise;correctly likewise;yowza;overconfidently that
6;2024-05-06;2024-05-05;utterly victoriously over;athwart;grin whose;frantically;oh however punctually;disruption boo
7;2024-05-05;2024-05-05;praise oh since;geez enormously;consequently descry meh;youthfully;restring rain;hmph ack
8;2024-05-05;2024-05-05;since yowza lined;fooey spectacular;blah;before;yuck consequently;which
9;2024-05-06;2024-05-06;abbreviation oof;disembodiment than blaspheme;frightfully;boastfully;interfere candelabra;evergreen
10;2024-05-05;2024-05-06;boo;uh-huh bandy;throughout polish;till ack;out flock exactly;after
