id;buitenlandseplaatseinde;buitenlandseregioeinde;datumeinde;gemeenteeinde;landofgebiedeinde;omschrijvinglocatieeinde;redeneinde
1;amusing failing total;where forked up;pattern fussy while;meh historian gestate;boldly;meanwhile however;snowflake resource thing
2;when;achievement boohoo conceptualize;tenderly;pace disembark hm;inasmuch;always;aha eek joshingly
3;hence;hinder how;quizzically aside;save;scrutinize furthermore wonder;pipe;likewise adjudge awkwardly
4;during;meanwhile very knobby;burning;gee;pro lump absent;stables behind;rise rural
5;carefully tatami that;yet;hypothesis than for;ferret pate rotten;besides webmail cupcake;forenenst an across;legalise stabilise
6;than plus;adept gadzooks;advanced;incomplete filter empire;corrupt separately enthrall;mall;knavishly
7;whoever given;version frizz;gee phooey;deliberately tractor;alarm coolly;when alongside;meanwhile lady
8;prostrate shakily placate;catalyse oddball avaricious;yet over;rough opposite;flock;ugh treat;although epee frank
9;jellyfish;once;legalize intervention;whether area boldly;meaningfully hmph whoever;professionalize;stake mid
10;uh-huh watch bell;phooey ninja physically;innocently while;prescription below;how often;shiny;meanwhile colorless calculating
