id;functie;functiesoort;hoofdcategorie;hoofdfunctie;subcategorie;toelichting;verbijzondering
1;restrict;weepy jubilantly;ziggurat after bust;sequence;circa outvote costly;so beside pro;atop incidentally
2;another cavernous drab;climb;vie;by;to hospitalise;tectonics midst;between
3;although vivaciously;and aboard;respray ah bitter;pro through because;huzzah amongst during;at;rethink
4;symmetry;diligently motion;woot;lucky;given jaunty pennant;inside reamer;that
5;needily oh;subsidiary;yippee;blah;irritably hiccup what;fix heavily;spattering
6;hmph;as;instead;hm;palatable;whenever fraction shelve;finally rearm
7;unless on hundred;under ugh;um bootleg regularly;over though zany;unfortunately;whenever blah;motivate zowie
8;between after;phooey foolhardy;though rightfully;while sparse abdicate;hmph;woefully;quicker
9;important;as on;partially;competitor rummage;depress;nanoparticle sustainment downturn;freely absent expropriate
10;icicle ha within;hence ha besides;muscle;phooey hopelessly;unless antling;during oof yum;chime
