id;clustercode;clusteromschrijving;naam;nummer;omschrijving
1;dutiful;aching far downturn;at till;unabashedly;onto midst
2;hastily mmm only;qua;upward delightfully;whether gadzooks boo;violently
3;anxiously live;which admire ugh;recess;banner;sugary
4;because once;nutritious;estimate;reckless after becau;why brr apropos
5;after;cause indeed;hence;tightly kookily;curly inhabit tomorrow
6;and sweetly;pace;fooey justly;concerning;skeletal during
7;selfishly tentacle w;but throughout why;atone;keenly whose;times qua including
8;demanding;uh-huh more yippee;blue deeply granular;though with zealous;open buddy
9;hm;wherever including;whisper etch;fresh improbable;than
10;appetite;trunk whose;nicely;heap noisily;hm blond duh
