id;clustercode;clustercodeomschrijving;naam;nummer;omschrijving
1;strobe after;flowery;singer;enchanted;oversimplify
2;aha until;instantly extremely suspicious;sharply;tart;in
3;with unfortunately g;so rubbery;banter lobby unlike;doodle conscious;uh-huh wear
4;crib youthfully;yahoo fooey alligator;heavenly poor wherever;after;munch meh
5;quicker behest;separately;joyously walk scavenge;female;finally
6;because that save;heavily apud gosh;deposit through;styling;verbally
7;yowza greedily yowza;crook pilfer torment;charming easily bleakly;unnaturally black-an;oddly after scientific
8;amidst;frantically;cream;rejig;plush
9;forenenst anenst;politely actually duh;sedately vaguely pesky;huzzah;farm odd
10;via organization beh;fluffy;hemisphere triumphantly;seemingly;heavy ouch sans
