id;datumontstaan;datumopheffing;emailadres;faxnummer;formatie;naam;naamverkort;omschrijving;organisatieidentificatie;telefoonnummer;toelichting
1;innocently;youthfully uh-huh;innocence slap joyfully;um;down privilege;when upon after;eddy;whoa saddle;wherever;caricature besides;spot up
2;nervously;obedient consulting;scarily;more;wherever cruelly;magnet amongst inasmuch;paste naturally;yuck ack angora;now;consequently;willing
3;tenderly mmm;rename;quarrelsome gleefully;keelhaul psst;whoever cultivated;correspondence but;inability;resist ape;healthily;finer freak;purchase alongside furthermore
4;yuck lest;crook at huzzah;licorice hm bog;subsidy vaguely whil;fooey till;because;valiantly;joshingly bacterium;emulsify optimistic bean;questionably conside;what
5;bumpy meh;who fooey growling;finally;dismount;down or phooey;pish;if trim;assumption;zany limb forenenst;miscount abrogation ;physical jumpy
6;stunning modulo;harbor;certify absolute except;flutter;sans;oh after required;huzzah redeploy;likewise likely closely;clumsy photocopy;beautiful aha bitter;although each thorny
7;celebrated tenet old-fashioned;while present geez;miniature imagination;unless parched;unlike;being;coincide;upward;mostly yippee;mileage yum hmph;loud woot gadzooks
8;extroverted suspend what;negligible off;yum ikebana self-assured;urgently;mysteriously troubled;calmly nor however;draft torch shine;collectivisation within;indeed;unhook aha;gadzooks
9;loincloth whelp atop;among tackle barring;into;wholly;before;command modulo anti;bungalow;a while;female;correctly annually;boo hence
10;canter viciously boohoo;alibi before yet;passionate hmph pro;fooey grok oof;reclamation;gosh yippee;inasmuch hmph calm;knottily onto;insist;among;gadzooks
