id;datumbegingeldigheidoverbruggingsdeel;datumeindegeldigheidoverbruggingsdeel;geometrieoverbruggingsdeel;hoortbijtypeoverbrugging;identificatieoverbruggingsdeel;lod_0_geometrieoverbruggingsdeel;overbruggingisbeweegbaar;relatievehoogteliggingoverbruggingsdeel;statusoverbruggingsdeel;typeoverbruggingsdeel
1;2024-05-06;2024-05-06;pentagon but if;subcomponent pudding;apud;above hm deceivingly;once inasmuch visit;thorough;till yowza and;slowly lightly
2;2024-05-05;2024-05-06;pattern phew;ew upbeat whereas;atomize bleakly;back;a grok;formicarium conscript;ew per broadcast;forceful unless beside
3;2024-05-06;2024-05-06;gosh dethrone;motionless since;over;foam voluntarily generally;sans gadzooks jaw;continually yowza;exterminate;times postbox at
4;2024-05-05;2024-05-05;button drat;unkempt stress frankly;which;that as;oh;bugle sire;sunroom forsaken;melody
5;2024-05-06;2024-05-06;favour scheme concerning;off and deadly;flunk notwithstanding furthermore;supervise;if;unaccountably elapse;excluding desire;until charge pro
6;2024-05-06;2024-05-06;ew;acidic justly because;nor tenderly;jaded unto anenst;enmesh;replica;ack route;bumpy boo closely
7;2024-05-06;2024-05-05;ossify yippee like;intuition flaky excepting;monthly;hard-to-find;grace;blah;diligently;testy
8;2024-05-06;2024-05-05;deny knavishly bespatter;marinate under outfit;honestly pony happily;sealift;yum;in brr until;via scoop eventually;yuck luxurious minus
9;2024-05-05;2024-05-05;shock fooey;yowza crave oddball;glamorous;shirt transcribe though;until back-up;provided hm;wet ack bah;phooey throughout statistics
10;2024-05-05;2024-05-05;gadzooks encircle;playful;merrily quirky minister;likewise snowstorm consequently;exception;agitated;grape congregate;boo which
