id;bouwjaar;indicatieplanobject;overiggebouwdobjectidentificatie
1;towards;cluttered;loaf
2;ethical joyfully;consequently herd;ick indeed
3;actually;who whose tire;thoughtfully
4;circa;annual ew;onto oh vice
5;terribly frightfully before;whenever powerfully;yum
6;beside whereas;kindly alarming;although
7;sermonize apropos before;scow since;agree narrow linen
8;terribly airbrush;supposing after;whoa defect
9;lightscreen at;hm off;jovial pro apportion
10;or;yum burn politely;attached extra-small following
