id;buitenlandseplaatsoverlijden;buitenlandseregiooverlijden;datumoverlijden;gemeenteoverlijden;landofgebiedoverlijden;omschrijvinglocatieoverlijden
1;thoughtfully emulsify supposing;rob betray wimp;potentially;questionably;whether sans;sadly positively
2;than orderly supposing;distorted;immaterial since;resolve;fondly oh blushing;previous inasmuch
3;extra-small hops courteous;vision since instead;accomplished;mmm selection roughly;offload circa;jumbo
4;gah;nor;interchange;oh uselessly micromanage;colorfully star cruise;misspend
5;ugh lovingly gadzooks;blah annually;ah regal;yuck if;brr while;original although likewise
6;mambo intently;seemingly progress;whereas agile;hmph;revenge;distribution excellent kind
7;overwork;um;likewise instead;slide understated;aboard upliftingly;tongue
8;denominator boohoo softly;superimpose yearningly;frame toll;remember;till;indeed yahoo
9;illumine;the;wildly;anti apropos;elegant atop vacantly;duh hourly
10;well;save aha out;likewise provided attendance;whenever uh-huh;contaminate midst;scoot blah smith
