id;datumoverlijden;landoverlijden;overlijdensplaats
1;under;lest humiliate;circa hm corsage
2;extraneous oof;monthly injustice;internal floor
3;frightfully whoever thirst;badly really happily;tenderly
4;behind for showy;afore ack yet;organise boohoo
5;reset wave rent;notice;desert whoever
6;supervene lamb wherever;off for required;jockey consequently
7;wherever;yuck during lest;searchingly dreary untrue
8;adviser leg;foolishly;precedent because
9;eek functionality boohoo;ew banyan;gasp hungrily mindless
10;including;arise poor stealthily;unfortunately including whisper
