id;bassin;drempelbreedte;drempelniveau;klep;type;vormdrempel;waking
1;provided happily;autoimmunity;uselessly whether however;true;shaker establish;verbally nitrify;phooey fondly
2;gee;apud knight;embalm near;false;noteworthy;stained trellis zesty;deplete off
3;stray fire law;absent warmly;pop basic;false;hourly after velvety;outrank used;participate
4;oh;before;notable budge;true;aha darn hm;what enlighten enthrone;quietly
5;yellowish;supposing vapid pointless;outfielder roasted;true;ah;ready meanwhile supper;indeed
6;missile who prompt;barrier;after;true;even when embassy;archives because;astride gah
7;incidentally;absentmindedly yowza;psst roommate;false;straight;snack porpoise upright;possess
8;hmph including;meanwhile;inside gee;true;father adjust;whose hm hm;stockings
9;sometimes tart;against;deployment;true;bargain;shalt;blah
10;wrongly gadzooks ugh;via medical worth;once whoa till;false;going;like title;shimmering
