id;aanmaaktijd;bedragaankoop;bedragbtw;datumtijdeinde;datumtijdstart;productnaam;productomschrijving
1;gadzooks;14468.08;2669.09;um oversimplify how;savage well;rosy;over wicked metro
2;till anenst;2311.83;25299.57;uselessly so ack;father than drat;over except;gargantuan
3;aw boldly;24030.2;26365.49;superficial;gadzooks passionate;gah cavernous;utterly
4;luxury;14576.76;27171.53;scenery dislodge;edible;king however;haunting harpoon gah
5;tingle unto;4177.71;29613.93;unexpectedly so;highly mockingly in;negative despite;yet
6;bah pish;21739.31;20888.15;entreat;ugh;given;ouch equal perjure
7;potentially attractive meek;22890.19;15129.65;if;punish;excluding;cheap
8;imaginary meanwhile extraneous;29080.26;9243.56;ew meanwhile freely;spark degree;greatly certainty;before prudent
9;squish up;18065.91;31570.95;pish prowl ick;logo organization blah;cup;bug
10;creative how;1447.5;7938.21;oversight;abut;worth unaccountably annual;reconfigure for despite
