id;datumeindegeldigheid;datumreservering;datumstart;kenteken;minutenafgeschreven;minutengeldig;minutenresterend;nummer;type
1;lest fixture;2024-05-06;even gracefully;icy;aha marksman aw;kiddingly metallurgist;why precipitate bah;shelve dehydrate;saviour that
2;brightly crime within;2024-05-05;woot;towards dhow;until excepting yippee;whose gee;along forenenst;keenly abseil;never yowza yet
3;before rightfully;2024-05-06;before;munch although oof;put aboard beneath;smoothly pro whether;unless blow;failing pfft;brr thankfully amidst
4;digging;2024-05-05;easily oof;lest;unfortunately ha piddle;shyly accidentally through;versus;huzzah;uh-huh above
5;thing slowly;2024-05-06;narrate;harm;loyally;physically;eek;properly to;broadly
6;oof;2024-05-06;out;infrastructure lean madly;yearningly naturally bustling;uh-huh past;yippee verbally;yahoo;despite
7;awaken;2024-05-05;whose;ha umpire petrify;mature woozy;waterlogged joke;offensive;drat lively lisp;enchanted which foul
8;snorkel;2024-05-05;instrument;slime gatecrash as;watch sunny eek;deviate likely run;wrongly sans upon;leverage;zowie
9;regularly;2024-05-06;sneeze undertake;via yowl;miaow rambler;even;card;drat;fantasize aboard upward
10;squash;2024-05-06;ophthalmologist;that excepting why;er openly;typewriter awkward;flan;zowie bah;immortalize
