id;aantal;coordinaten;doelgroep;fiscaal;plaats;vlakid
1;ajar digital;ample er;bitterly into since;true;proscribe heirloom;expend score curtail
2;fearless mushy acidly;diplomacy presume;geez;false;which quail;aw save
3;burrow;woot woot;toothpaste excepting times;true;following sprint citron;behind
4;bleakly;knowledgeable bun;awkward;false;conversation unexpectedly astride;apropos via failing
5;female despite;who rustle;harmonious unabashedly reply;false;raze plus obstacle;blah
6;delightfully grandmother;vigorous attribute;likelihood;true;beneath although;poorly
7;finding sock;yowza in educated;an revenue bootie;true;unless gosh;although gleefully gosh
8;composed chromolithograph;aha ha knotty;drat;false;far monstrous as;thick along fiercely
9;ebb unused;excepting loosely;lest epitomize;true;when brr;disaffiliate
10;for masculine;individualize;true;false;fooey;slurp pepper alive
