id;zeventigprocentverkocht;aardgasloos;bestemminggoedgekeurd;eersteoplevering;eigendomgemeente;gebiedstransformatie;intentie;laatsteoplevering;naam;nummer;onherroepelijk;percelen;startbouw;startverkoop
1;true;true;false;2024-05-05;false;false;false;2024-05-05;aw slimy;respect;false;down discrete provided;2024-05-06;2024-05-05
2;true;true;true;2024-05-05;true;true;false;2024-05-06;wildly or smash;effective furthermore oh;true;celsius;2024-05-06;2024-05-05
3;true;false;false;2024-05-06;true;false;false;2024-05-05;pfft even;ack;false;card whoever trusty;2024-05-05;2024-05-06
4;true;false;false;2024-05-06;true;true;true;2024-05-05;fully phooey shakily;astonish;false;notify if leg;2024-05-05;2024-05-05
5;true;true;false;2024-05-05;false;true;false;2024-05-06;network hence;transportation sans;true;duh heartfelt;2024-05-06;2024-05-06
6;true;false;true;2024-05-05;false;true;false;2024-05-05;care yearly lest;and;true;aha;2024-05-06;2024-05-06
7;true;true;false;2024-05-06;false;true;false;2024-05-06;wonderfully ah;verifiable kookily;false;whether;2024-05-05;2024-05-05
8;true;true;false;2024-05-06;false;false;true;2024-05-06;fooey;except violently before;true;sticky series;2024-05-06;2024-05-05
9;true;false;false;2024-05-05;false;true;false;2024-05-06;crude oof generous;glorious;true;eek;2024-05-05;2024-05-05
10;true;true;true;2024-05-06;true;false;false;2024-05-05;because skirt next;compound allergist;false;town;2024-05-06;2024-05-06
