id;datumeindegeldigheid;datumstart;prijs;verrichting
1;2024-05-06;2024-05-05;6638.08;sans which zero
2;2024-05-06;2024-05-06;25542.48;boldly lively
3;2024-05-06;2024-05-06;24629.41;detoxify poorly boohoo
4;2024-05-05;2024-05-06;1401.97;beside modulo
5;2024-05-05;2024-05-05;27537.1;insubstantial alongside
6;2024-05-05;2024-05-05;568.5;buzz ouch
7;2024-05-05;2024-05-06;13693.88;drat overbalance wrest
8;2024-05-06;2024-05-05;6563.66;meh
9;2024-05-06;2024-05-05;20025.51;that
10;2024-05-05;2024-05-05;28037.14;equity duh drag
