id;codemuseumjaarkaart;datumeindegeldigheid;datumstart;entreekaart;omschrijving;prijs
1;glutamate psst;2024-05-05;2024-05-05;prestige;nick freely than;2024.69
2;amidst rigidly huzzah;2024-05-05;2024-05-05;readily reject against;onto occur banquette;1190.28
3;mingle hungrily triumphantly;2024-05-06;2024-05-06;and steal plunk;executive next mama;15823.01
4;afterwards quarrelsome;2024-05-06;2024-05-05;uphold because vaguely;gah;21355.5
5;interject;2024-05-05;2024-05-06;whopping;itch;26909.03
6;insignificant;2024-05-06;2024-05-06;wearily austere;involve upbeat;19502.11
7;physical knobby;2024-05-06;2024-05-06;quicker;osprey er duh;31560.12
8;jaggedly consequently enthuse;2024-05-05;2024-05-06;hard-to-find;down ha;31085.71
9;claw;2024-05-06;2024-05-06;pristine wonderfully;along standardise the;117.98
10;reflecting aside tepid;2024-05-05;2024-05-05;grubby over;including desensitize indeed;7748.01
