id;code;omschrijving;tarief;tariefperiode
1;considering;coarse vigilant wee;15196.97;aside ack delineate
2;vastly earthquake realise;reorient carelessly dish;7402.41;denude upliftingly w
3;broadly proud closely;when and slash;7162.34;rich
4;nor as;pegboard after tedious;6230.63;fascia deep
5;luminous less;lest;8333.59;before aha
6;ouch quickly;brave aha;22340.37;close
7;boo hate against;aw when;10039.57;though simplificatio
8;supposing intone;discipline diligently opposite;31553.76;binoculars pong
9;versus unto;regularly sleuth;13931.95;aw while
10;whether;undelete animal pastel;32313.59;interchange everybod
