id;key;projectcd;putnummer
1;regroup vacantly or;witness;circa
2;stress;barium barring;searchingly eventually
3;deep barring inasmuch;blah but contrail;kindheartedly boyhood across
4;more jittery;incidentally mass around;irresponsible grand
5;humming whoa;boil entire or;foal given
6;yesterday given pfft;herald sour;dishearten apud hmph
7;interestingly harmonious;lest impound oof;jubilant mysterious filth
8;around;interestingly fish essay;forenenst
9;caption;eek frantically excerpt;wrong whereas
10;luxurious at sleep;fickle;fooey
