id;diameter;put;type;vorm
1;upon per during;fooey;oof glider revenge;uselessly
2;outset;brr yellowish centimeter;frankly;waterlogged
3;traipse;ick by;which cooperative;ad bonk regarding
4;blah worried though;inasmuch;ack fiercely zowie;letter slight yawningly
5;ectoderm;till even;gag vestment ferociously;nor athwart
6;caddie;humour spay;coinsurance;wide diligently
7;anenst;amusing while atop;quick-witted;barring
8;by;digress;ew;with
9;instead huzzah;continually;combine;lively fooey unto
10;normal versus;cautious low dramatize;consequently hopeful;contort uh-huh with
