id;besloten;datumexpiratie;datumpublicatie;datumregistratie;typeraadsstuk
1;brilliant;vacantly spiteful fairly;nutty;meanwhile towards recrudesce;tug outlying
2;mindless;bidding selfishly;hungrily;without paper impressive;yuck
3;repeal middle the;showy shocked trot;brilliant limply scientific;blah;heavily grapefruit concerning
4;medium if;moonwalk revile;oof bashfully psst;while marketing;a brr
5;or barring;likewise botch;once;supportive;lightly
6;breakpoint;indeed;advanced;tiny cria dimpled;unto
7;sour curly guarantee;reflecting geez that;dispossess briskly;enthusiastically down;ick over although
8;win duh hmph;than;of;unusual suggestion;mid debase
9;yell;qua owlishly amend;dearest supposing mmm;candid residue beloved;blacken vice lest
10;punctually aha excepting;boo mmm during;boohoo;towards including;unlike
