id;datum;naam;omschrijving;termijn
1;2024-05-06;energetically qua;instead;furthermore
2;2024-05-06;yahoo misspell poorly;amongst;likewise compassionate
3;2024-05-06;seldom virtue mishear;round why;probable
4;2024-05-05;blissfully bah atop;helo glamorous;and
5;2024-05-06;digger sprinter;repayment;unless corner kindly
6;2024-05-05;or sky;pirate as around;cheery slather denounce
7;2024-05-06;lest considering;portray;costly impractical
8;2024-05-06;patent oh chasten;duh residence;warped
9;2024-05-06;innocently circa clarify;which optimistically;forecast
10;2024-05-06;vice shed;delightfully;given how
