id;datumaanvanggeldigheidverkrijging;datumeindegeldigheidverkrijging;omschrijvingverkrijging;redennummerverkrijging
1;2024-05-06;2024-05-06;rarely as;rainstorm vigorous
2;2024-05-06;2024-05-05;gee;below near
3;2024-05-05;2024-05-05;judgementally hem pace;aha worriedly
4;2024-05-06;2024-05-06;minus drat;excluding eek view
5;2024-05-05;2024-05-05;liner;wearily port quickly
6;2024-05-06;2024-05-05;vibrate previous;drat
7;2024-05-05;2024-05-06;acupuncture joyful that;complicated for finesse
8;2024-05-05;2024-05-05;thick phooey;log rectangular discontinue
9;2024-05-05;2024-05-06;incidentally drat consequently;er sans
10;2024-05-06;2024-05-06;intimate;pfft how
