id;datumeinde;datumstart;datumtoekenning;omschrijving
1;scoff;criminal;cloudy;generally
2;amidst prophesy;tremendously;urgently magic considerate;kindhearted lumpy
3;awkwardly whoa;although;although;quizzical shanty
4;fast weave hmph;frizz;abaft;er
5;incidentally signal inasmuch;meh cameo;along analyst fry;since
6;nourishment;but;barring;free
7;invite;aw pfft;airplane whoa;loll
8;geez;athwart curiously;whoever conflict highly;as gadzooks
9;easily;kookily thankful;wonderfully translation;regarding patiently consequently
10;which grouchy;unless;hopelessly modulo husband;glass collapse which
