id;identificatie;omschrijving;tekst;bevat_omgevingsdocument_id
1;wearily;yuck joyfully;maintenance recoil apropos;1
2;acidly;synergy briskly yowza;cost till;2
3;meaningfully noteworthy;disregard woot who;healthily;3
4;sentimental prophesy boohoo;ha;hence proud clavicle;4
5;lap quoth;versus as tenderly;excepting;5
6;dreamily or;fervently;plastic;6
7;issue;pitiful;mint well armpit;7
8;aw dehumanise hungrily;bleakly inasmuch whereas;worriedly;8
9;immaculate yowza;waitress perfumed why;meh pish abut;9
10;after;loving stadium;stylish caution phew;10
