id;aantal;btw;tijdtot;tijdvanaf;totaalprijs
1;suspect gee whether;transfus;solemnise ah;for;graphic dearly
2;cocktail;atop;hmph ack mmm;deliberately;jumper boohoo
3;bad atop;stripe;as;beautifully intensely yearly;huzzah laud pish
4;mistime;welfare ;creaking about;failing occupy until;ah
5;graphic provided evenly;mostly;pro following card;why beside coarse;brr psst real
6;including sedately;salad ap;resource accidentally;inwardly inexperienced under;over
7;pollutant;rubbery;absent unknown;righteously while;privilege
8;as victoriously constrict;gadzooks;gulp dimly;oddly;consequently gah mangrove
9;after per ick;bulky ea;vend justification;carefully;ack
10;ah;fond ble;competent above continually;crocus duh whoever;suspiciously commercialise yet
