id;datum;naam;omschrijving
1;curly upward consequently;zowie truly new;how
2;mid rearm spiral;pfft badly;mmm allay window
3;per above apropos;afore along;for joyfully
4;a except;anenst perish;isogloss tensely gadzooks
5;lonely hilarious;lash babyish warm;lest nautical eek
6;because;save pish misread;ha
7;empathise;doing;reform
8;clearly skitter;gosh recycle;prince terribly urgently
9;alongside;including generally apprehension;across till faithful
10;why woot oh;after metronome weather;horrible where why
