id;eindtijd;naam;omschrijving;starttijd
1;educated;decamp where vice;alongside clinic;likewise
2;towards that;svelte moulder from;forenenst;or unknown since
3;strange realistic instead;mess;yam towards zowie;whoa
4;acorn mmm;yahoo vice;between sand;periodic geez
5;rebuke pastel;lazily acidly by;until;panpipe
6;pumpkinseed descent;offensively yet;herald hm;duster
7;drat electric;politely;in cleverly previous;equally
8;joshingly;flawless vivacious;unfinished than;engineering putt irritably
9;besides;weakly;variation or;acidly
10;bean;zowie;great at lamb;supplement gracefully
