id;aanleghoogte;breedte;hoogte;jaaronderhouduitgevoerd;lengte;leverancier;eobjectnaam;eobjectnummer;oppervlakte;scheidingmateriaal;verplaatsbaar
1;supposing parallel;cushion;till secret disloyal;earnest provided classic;tremendously legend yippee;defense mechanically yowza;as palatalize;dental;while;ex-husband than;false
2;boom what factory;cluttered;caption aggravate clear-cut;following;adolescent likewise save;lest aboard;barbeque oversee;next infantile whose;despite;courthouse percolate behind;true
3;yippee;cheerfully;mostly oof;phew;afterlife until upside-down;loot;positive clearly female;cop-out throughout b;versus;ride;true
4;provided;decimate;maximise;with;diligently yieldingly;while;oh sleepy;afore emotional;double;vulture besiege;true
5;concuss fresco where;poor;egg;strain;if consequently fatally;chard swiftly sternly;ability;whispered;mmm under finally;blather;false
6;tidy;before furthermore;playfully draw;circular abnegate letter;tape misappropriate regularly;although what;bunt;cannibalize;forswear wonderfully;expectorate;false
7;oh although;dealer into gleefully;male;hunt consecrate;conform;sleek;odd cornmeal;forsake;before;vaccinate;false
8;dismount before picket;warmly;ravage nod marketing;a knottily if;airbus giving boo;defect certificate gripper;upbeat spherical cautiously;taxi poorly since;tam-o'-shanter respectful;large despite smoothly;false
9;complicate plus;generously;ew;gosh yowza;shallows;if faint powerfully;bait nearly drum;fresh daintily;aside;upside-down provided;false
10;pish minus;worth;yellow geez assassination;announce what early;and zowie;invitation following gah;idealise forenenst barring;optimistic;weakly except;boo past;true
