id;aanbestedingsoort;drempelbedragtot;drempelbedragvanaf;opdrachtcategorie;openbaar
1;out;10200.7;5585.67;woot flat;outside per
2;bargain pack;17103.58;8346.27;below insubstantial;grimy goose
3;along delayed;6375.62;12219.71;violation correct;what minus
4;favorable apropos;12493.35;2798.76;down pump if;victoriously cave wherever
5;duplicate for during;25819.09;24729.59;who incidentally oblong;jewel
6;tenderly;15953.28;14338.51;meanwhile however;gah ew
7;common afore madam;500.82;22434.74;failing until er;impractical whoa festoon
8;bench;2668.05;7287.57;sans but meanwhile;when
9;spry;27048.04;1112.17;certainly;burglar elaborate limp
10;out meh;14309.19;30312.51;past next less;supposing
