id;actief;ipadres;locatie;organisatie;serienummer;serverid;servertype;vlan
1;true;sturgeon;rebuke ramp;below allow exactly;horizon where high;pure;wisely via;spherical
2;true;above lasting;even regal;phew ah;sear out;tights at judgementa;semantics normalisation aha;beside sleepily anglicize
3;false;actually per where;blissfully familiar;behind;nutritious gently zowie;dry qua gamble;canteen storyboard gee;likewise big stamp
4;true;impolite once open;fitting;glory abolish;barring ack;closure which;as;yowza or reply
5;false;like now;unless on;along except a;vice within winery;fanlight plus;often;mmm slough pantologist
6;true;melodic;captivate implement alongside;tailor reassuringly;whoa fog;hmph;kindly even carpet;why athwart
7;true;hence;give concentrate around;drum;oh;brr thrifty;amidst ah and;phooey
8;false;anenst pro;shimmy foam;why eek;sugar yum;ax whose curvy;provision at;round
9;false;since;reoffend;blah;against stage aboard;last hmph bay;acclaim showy;well-made incidentally cleverly
10;true;bah;soupy;apud silent provided;lovingly;save cheerfully;brightly selfish tinge;furthermore
